cd,cdnm
3546,춘천우두
9866,강릉홍제
9867,태백황지
9868,영월상동
9869,평창대화
9870,횡성안흥
11747,원주문막
11749,동해귀운
40543,고성인흥
42211,홍천화촌
60166,춘천서면
61203,원주신림
61551,삼척하장
61552,화천화천
61552,태백상사미
62207,양구해안
62207,양구양구
62536,평창평창
63753,철원갈말
63753,평창방림
65023,양구방산
65025,양양손양
65587,평창진부
65589,홍천홍천
71700,삼척원덕
71700,홍천내면
71700,홍천동면
71701,삼척근덕
71824,인제상남
73502,고성토성
73504,속초노학
73505,영월영월
73506,원주귀래
73508,정선정선
73510,화천간동
73511,화천사내
73513,화천상서
73514,횡성횡성
73765,영월광전
73768,인제귀둔
73768,인제원통
73770,철원자등
73771,태백문곡
75392,홍천어유포
75392,영월무릉도원
75392,영월북면
76972,강릉모전
76973,고성광산
76978,속초장사
76978,삼척도계
76979,양구가오작
76979,양구용하
76980,양양월리
76981,인제서화2
76983,화천풍산
76984,횡성강림
77135,정선여량
77135,정선낙천
77135,평창미탄
77135,원주반곡
77151,인제남북
77151,원주학곡
77154,평창장평
77156,홍천도관
82004,강릉왕산
82006,삼척가곡
82007,정선동면
82008,춘천북산
82010,춘천신동
82012,평창봉평
82015,홍천서석
84007,강릉연곡
84008,삼척마평
84011,인제인제
87234,원주명륜
95513,인제기린
95515,인제남면
95518,철원철원
95519,홍천서면
