도시,SGI,생활용수,농경지,보급률,유수율
강릉,440.14692696629214,513,6.571538387623715,96.6,66.7
고성,46.75290942028985,670,5.943410500832199,91.3,71.1
동해,6.384176470588235,527,4.228634850166482,99.6,68.0
삼척,119.47164441591785,658,3.401010951979781,90.8,54.9
속초,25.73614229249012,413,5.118259224219488,99.6,80.8
양구,275.98687131782947,720,7.023269870051376,78.1,69.8
양양,20.274266009852216,711,4.561180764957944,93.6,65.6
영월,244.25302818371608,535,5.046115643845336,80.6,58.2
원주,170.6950408496732,360,8.631809282506046,96.3,81.9
인제,305.49487447698743,669,2.133479212253829,81.3,83.0
정선,357.0754248366013,813,6.243646499426135,81.1,58.7
철원,189.12766467065867,676,13.71107363687465,95.1,64.4
춘천,167.81292477876104,365,5.102113937656754,98.5,87.3
태백,670.8175345454546,551,3.8583196046128494,97.9,57.6
평창,519.6815733590734,606,6.584466152059567,85.3,57.6
홍천,231.29821822033898,380,5.912212272702302,81.9,82.6
화천,200.56124760383386,656,3.024535152382,69.1,80.2
횡성,196.39661083743843,448,9.394850215409278,92.2,84.6
