도시,PVI_Score,PVI_Final
강릉,0.33156005974679853,0.36572847277792975
고성,0.4724976805121822,0.6183776593764566
동해,0.3178923933157616,0.34122738649771056
삼척,0.5228344396058724,0.7086129079350901
속초,0.1975827011932206,0.1255564698921358
양구,0.6278535097740426,0.896873377433797
양양,0.4829355207625638,0.6370888582372224
영월,0.561940680909472,0.7787159790854644
원주,0.2382864501993477,0.1985232833097386
인제,0.4062346652971351,0.49959250602470257
정선,0.685381582663295,1.0
철원,0.5840652756057343,0.8183772194517817
춘천,0.12754238015938543,0.0
태백,0.3182933401391053,0.3419461363122522
평창,0.5380311705877161,0.7358550431483055
홍천,0.34080608639513377,0.38230318930346907
화천,0.5725454322515907,0.7977263879891743
횡성,0.3132003401614192,0.3328162652762515
