시군,경지면적(계),논,밭,전체면적,비율(도내),농경지비율(%)
춘천시,5696.0,1174.0,4522.0,1116.4,6.6,5.102113937656754
원주시,7495.0,3156.0,4339.0,868.3,5.2,8.631809282506046
강릉시,6839.0,2333.0,4507.0,1040.7,6.2,6.571538387623715
동해시,762.0,112.0,650.0,180.2,1.1,4.228634850166482
태백시,1171.0,0.0,1171.0,303.5,1.8,3.8583196046128503
속초시,541.0,249.0,292.0,105.7,0.6,5.118259224219488
삼척시,4037.0,590.0,3447.0,1187.0,7.1,3.4010109519797815
홍천군,10762.0,2365.0,8397.0,1820.3,10.8,5.912212272702302
횡성군,9377.0,2360.0,7017.0,998.1,5.9,9.394850215409278
영월군,5690.0,335.0,5355.0,1127.6,6.7,5.046115643845336
평창군,9639.0,263.0,9376.0,1463.9,8.7,6.584466152059567
정선군,7616.0,208.0,7408.0,1219.8,7.2,6.243646499426135
철원군,12196.0,9809.0,2387.0,889.5,5.3,13.71107363687465
화천군,2749.0,518.0,2231.0,908.9,5.4,3.024535152382
양구군,4648.0,1268.0,3379.0,661.8,3.9,7.023269870051376
인제군,3510.0,633.0,2878.0,1645.2,9.8,2.133479212253829
고성군,3928.0,2933.0,996.0,660.9,3.9,5.943410500832199
양양군,2874.0,1590.0,1283.0,630.1,3.7,4.5611807649579434
